order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority,year
ID-2014-16530,2014-12-22,2014-12-27,Standard Class,Harry Marie,Corporate,Seoul,South Korea,APAC,North Asia,OFF-SU-10000618,Office Supplies,Supplies,"Acme Trimmer, High Speed",45,2,0.5,-11.64,3.11,Medium,2014
CA-2014-165841,2014-12-22,2014-12-29,Standard Class,Dean Braden,Consumer,New Jersey,United States,US,East,OFF-SU-10000898,Office Supplies,Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",70,5,0.0,20.155,9.85,Low,2014
ES-2014-5566428,2014-12-22,2014-12-26,Standard Class,Deborah Brumfield,Home Office,Bavaria,Germany,EU,Central,FUR-CH-10003248,Furniture,Chairs,"SAFCO Bag Chairs, Black",127,3,0.1,9.837,11.25,Medium,2014
CA-2014-144827,2014-12-22,2014-12-28,Standard Class,Sanjit Engle,Consumer,California,United States,US,West,OFF-ST-10004340,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",124,2,0.0,33.5772,6.61,Medium,2014
EG-2014-1110,2014-12-22,2014-12-23,First Class,Raymond Messe,Consumer,Al Qahirah,Egypt,Africa,Africa,OFF-CAR-10001746,Office Supplies,Binders,"Cardinal Index Tab, Clear",40,6,0.0,16.92,5.03,Medium,2014
EG-2014-1110,2014-12-22,2014-12-23,First Class,Raymond Messe,Consumer,Al Qahirah,Egypt,Africa,Africa,OFF-AVE-10004310,Office Supplies,Labels,"Avery File Folder Labels, Alphabetical",18,2,0.0,5.88,4.26,Medium,2014
SU-2014-6350,2014-12-22,2014-12-28,Standard Class,Grant Thornton,Corporate,Khartoum,Sudan,Africa,Africa,FUR-HON-10001622,Furniture,Chairs,"Hon Chairmat, Red",56,1,0.0,7.77,3.68,Medium,2014
SU-2014-6350,2014-12-22,2014-12-28,Standard Class,Grant Thornton,Corporate,Khartoum,Sudan,Africa,Africa,OFF-AVE-10003279,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",47,8,0.0,16.8,3.41,Medium,2014
IN-2014-17489,2014-12-22,2014-12-26,Standard Class,David Flashing,Consumer,Jawa Timur,Indonesia,APAC,Southeast Asia,OFF-AR-10000539,Office Supplies,Art,"Boston Markers, Easy-Erase",58,3,0.27,-15.9984,3.25,Medium,2014
MX-2014-130071,2014-12-22,2014-12-24,First Class,Cassandra Brandow,Consumer,Las Tunas,Cuba,LATAM,Caribbean,OFF-LA-10002258,Office Supplies,Labels,"Smead File Folder Labels, Adjustable",9,2,0.0,2.24,2.45,Critical,2014
US-2014-131450,2014-12-22,2014-12-27,Standard Class,Tony Chapman,Home Office,Santa Catarina,Brazil,LATAM,South,OFF-BI-10001199,Office Supplies,Binders,"Acco Index Tab, Durable",2,1,0.6,-2.276,0.21,Medium,2014
CA-2014-107461,2014-12-22,2014-12-27,Second Class,Pete Kriz,Consumer,South Carolina,United States,US,South,OFF-BI-10002003,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,24,6,0.0,11.2236,1.68,Medium,2014
IN-2014-64347,2014-12-22,2014-12-26,Standard Class,Joe Elijah,Consumer,Hong Kong,Hong Kong,APAC,North Asia,OFF-LA-10004430,Office Supplies,Labels,"Avery Shipping Labels, Laser Printer Compatible",12,1,0.0,5.55,0.94,Medium,2014
US-2014-122322,2014-12-22,2014-12-29,Standard Class,Philip Brown,Consumer,Buenos Aires,Argentina,LATAM,South,OFF-AR-10004920,Office Supplies,Art,"Boston Canvas, Water Color",136,6,0.4,11.328,0.7,Medium,2014
CA-2014-163405,2014-12-22,2014-12-26,Standard Class,Bradley Nguyen,Consumer,California,United States,US,West,OFF-AR-10001246,Office Supplies,Art,Newell 317,6,2,0.0,1.7052,0.66,High,2014
IN-2014-64347,2014-12-22,2014-12-26,Standard Class,Joe Elijah,Consumer,Hong Kong,Hong Kong,APAC,North Asia,OFF-BI-10003713,Office Supplies,Binders,"Wilson Jones Index Tab, Economy",19,3,0.0,7.11,0.58,Medium,2014
ES-2014-2785434,2014-12-22,2014-12-25,Second Class,Larry Blacks,Consumer,Aquitaine,France,EU,Central,OFF-BI-10003708,Office Supplies,Binders,"Avery Binder, Economy",26,2,0.0,10.02,0.55,Medium,2014
MX-2014-137743,2014-12-22,2014-12-26,Standard Class,Bryan Spruell,Home Office,Maranhão,Brazil,LATAM,South,FUR-FU-10002007,Furniture,Furnishings,"Rubbermaid Stacking Tray, Black",34,2,0.0,2.68,0.4,Medium,2014
CA-2014-163405,2014-12-22,2014-12-26,Standard Class,Bradley Nguyen,Consumer,California,United States,US,West,OFF-AR-10003811,Office Supplies,Art,Newell 327,7,3,0.0,1.7901,0.29,High,2014
MX-2014-113327,2014-12-22,2014-12-24,First Class,Brooke Gillingham,Corporate,Minas Gerais,Brazil,LATAM,South,OFF-FA-10001337,Office Supplies,Fasteners,"Stockwell Staples, Assorted Sizes",37,7,0.0,16.8,0.04,High,2014
IN-2014-44789,2014-12-22,2014-12-24,First Class,Joni Blumstein,Consumer,Guizhou,China,APAC,North Asia,TEC-AC-10002833,Technology,Accessories,"Logitech Mouse, USB",59,2,0.0,12.96,13.23,Critical,2014
